Sheet,Field,Type,Description,Source/Derivation,AllowedValues/Notes
SOP_Documents,NumPages,int,Number of pages detected/extracted from the PDF.,Extraction pipeline output,
SOP_Documents,ResolvedPDFURL,text (URL),Canonical resolved PDF URL used for download/linking and as the primary document identifier.,Extraction pipeline URL resolution,
SOP_Documents,SheetName,text,Name of the sheet in the SOP index workbook where this row originated.,Multi-sheet ingest added field,
SOP_Documents,SourceURL,text (URL),Original source URL as listed in the index (may differ from resolved URL).,SOP index,
SOP_Documents,Status,text,"Document processing status (e.g., downloaded/extracted/failed).",Extraction pipeline output,
Scoring_Rubric,0,text,Definition of score 0 for the dimension.,Rubric sheet,
Scoring_Rubric,1,text,Definition of score 1 for the dimension.,Rubric sheet,
Scoring_Rubric,2,text,Definition of score 2 for the dimension.,Rubric sheet,
Scoring_Rubric,Dimension,text,Name of the scoring dimension.,Rubric sheet,
Test_Prompts,CY23_MissionArea,text,Mission area from CY23 source fields (if present).,From Incidents_CY23_Sample.CY23_MissionArea,
Test_Prompts,CitationScoringMode,text,How to score citations: require expected chunk match vs allow relevance-only.,Risk control based on retrieval confidence and evaluation goals,Expected-match / Relevance-only
Test_Prompts,ExpectedActionChecklist,long text,Expected action checklist derived from SOP chunk text.,From Incidents_CY23_Sample.ExpectedActionChecklist,
Test_Prompts,ExpectedChunkIDs,text,Expected chunk IDs used for grounding/citation scoring.,From Incidents_CY23_Sample.ExpectedChunkIDs,
Test_Prompts,ExpectedMissionArea,text,Expected mission area for scoring.,From Incidents_CY23_Sample.ExpectedMissionArea,
Test_Prompts,ExpectedURLs,text (URL),Expected URLs for grounding/citation scoring.,From Incidents_CY23_Sample.ExpectedURLs,
Test_Prompts,MissionAreaConfidence(0-2),int,Numeric mission area confidence.,From Incidents_CY23_Sample.MissionAreaConfidence(0-2),2/1/00
Test_Prompts,MissionAreaConfidenceBand,text,Mission area confidence band.,From Incidents_CY23_Sample.MissionAreaConfidenceBand,
Test_Prompts,MissionAreaTop3_MissionAreas,text,Top-3 mission area candidates.,From Incidents_CY23_Sample.MissionAreaTop3_MissionAreas,
Test_Prompts,NeedsManualReview,bool,Manual review flag.,From Incidents_CY23_Sample.NeedsManualReview,
Test_Prompts,ProceduralChunkID,text,Procedural re-ranked chunk ID (Medium cases).,From Incidents_CY23_Sample.ProceduralChunkID,
Test_Prompts,ProceduralChunkSimilarity,float,Similarity of procedural re-ranked chunk (if used).,From Incidents_CY23_Sample.ProceduralChunkSimilarity,
Test_Prompts,ProceduralChunkURL,text (URL),URL for procedural re-ranked chunk.,From Incidents_CY23_Sample.ProceduralChunkURL,
Test_Prompts,Prompt,long text,"Full prompt text to paste into the model; includes role framing, required outputs, and safety constraints.",Generated from incident fields + SOP expectations,
Test_Prompts,RequireExpectedChunkMatch(Y/N),text,Whether exact expected chunk match is required when scoring citations.,Derived from CitationScoringMode,Y/N
Test_Prompts,RetrievalConfidence(0-2),int,Numeric retrieval confidence.,From Incidents_CY23_Sample.RetrievalConfidence(0-2),2/1/00
Test_Prompts,RetrievalConfidenceBand,text,Retrieval confidence band.,From Incidents_CY23_Sample.RetrievalConfidenceBand,
Test_Prompts,RetrievedMissionArea,text,Mission area suggested by retrieval.,From Incidents_CY23_Sample.RetrievedMissionArea,
Test_Prompts,SEQNOS,int,Join key back to Incidents_CY23_Sample.,Incidents_CY23_Sample,
Test_Prompts,TopChunkScore,float,Similarity score for selected chunk.,From Incidents_CY23_Sample.TopChunkScore,
Test_Prompts,TopChunkSnippet,long text,Context snippet from the selected chunk.,From Incidents_CY23_Sample.TopChunkSnippet,
